,code,법정동명
0,1100000000,서울특별시
1,1111000000,서울특별시 종로구
2,1111010100,서울특별시 종로구 청운동
3,1111010200,서울특별시 종로구 신교동
4,1111010300,서울특별시 종로구 궁정동
5,1111010400,서울특별시 종로구 효자동
6,1111010500,서울특별시 종로구 창성동
7,1111010600,서울특별시 종로구 통의동
8,1111010700,서울특별시 종로구 적선동
9,1111010800,서울특별시 종로구 통인동
10,1111010900,서울특별시 종로구 누상동
11,1111011000,서울특별시 종로구 누하동
12,1111011100,서울특별시 종로구 옥인동
13,1111011200,서울특별시 종로구 체부동
14,1111011300,서울특별시 종로구 필운동
15,1111011400,서울특별시 종로구 내자동
16,1111011500,서울특별시 종로구 사직동
17,1111011600,서울특별시 종로구 도렴동
18,1111011700,서울특별시 종로구 당주동
19,1111011800,서울특별시 종로구 내수동
20,1111011900,서울특별시 종로구 세종로
21,1111012000,서울특별시 종로구 신문로1가
22,1111012100,서울특별시 종로구 신문로2가
23,1111012200,서울특별시 종로구 청진동
24,1111012300,서울특별시 종로구 서린동
25,1111012400,서울특별시 종로구 수송동
26,1111012500,서울특별시 종로구 중학동
27,1111012600,서울특별시 종로구 종로1가
28,1111012700,서울특별시 종로구 공평동
29,1111012800,서울특별시 종로구 관훈동
30,1111012900,서울특별시 종로구 견지동
31,1111013000,서울특별시 종로구 와룡동
32,1111013100,서울특별시 종로구 권농동
33,1111013200,서울특별시 종로구 운니동
34,1111013300,서울특별시 종로구 익선동
35,1111013400,서울특별시 종로구 경운동
36,1111013500,서울특별시 종로구 관철동
37,1111013600,서울특별시 종로구 인사동
38,1111013700,서울특별시 종로구 낙원동
39,1111013800,서울특별시 종로구 종로2가
40,1111013900,서울특별시 종로구 팔판동
41,1111014000,서울특별시 종로구 삼청동
42,1111014100,서울특별시 종로구 안국동
43,1111014200,서울특별시 종로구 소격동
44,1111014300,서울특별시 종로구 화동
45,1111014400,서울특별시 종로구 사간동
46,1111014500,서울특별시 종로구 송현동
47,1111014600,서울특별시 종로구 가회동
48,1111014700,서울특별시 종로구 재동
49,1111014800,서울특별시 종로구 계동
50,1111014900,서울특별시 종로구 원서동
51,1111015000,서울특별시 종로구 훈정동
52,1111015100,서울특별시 종로구 묘동
53,1111015200,서울특별시 종로구 봉익동
54,1111015300,서울특별시 종로구 돈의동
55,1111015400,서울특별시 종로구 장사동
56,1111015500,서울특별시 종로구 관수동
57,1111015600,서울특별시 종로구 종로3가
58,1111015700,서울특별시 종로구 인의동
59,1111015800,서울특별시 종로구 예지동
60,1111015900,서울특별시 종로구 원남동
61,1111016000,서울특별시 종로구 연지동
62,1111016100,서울특별시 종로구 종로4가
63,1111016200,서울특별시 종로구 효제동
64,1111016300,서울특별시 종로구 종로5가
65,1111016400,서울특별시 종로구 종로6가
66,1111016500,서울특별시 종로구 이화동
67,1111016600,서울특별시 종로구 연건동
68,1111016700,서울특별시 종로구 충신동
69,1111016800,서울특별시 종로구 동숭동
70,1111016900,서울특별시 종로구 혜화동
71,1111017000,서울특별시 종로구 명륜1가
72,1111017100,서울특별시 종로구 명륜2가
73,1111017200,서울특별시 종로구 명륜4가
74,1111017300,서울특별시 종로구 명륜3가
