기간	월별	합계	살인	강도	성범죄	절도	폭력	지능범	마약류	기타
2016	합계	11,607	18	18	226	929	3,480	1,790	204	4,942
2016	1월	762	2	-	9	35	257	117	15	327
2016	2월	785	5	3	13	51	308	99	5	301
2016	3월	949	2	1	13	83	312	146	10	382
2016	4월	1,020	-	2	14	88	295	158	20	443
2016	5월	1,112	-	1	24	86	304	181	19	497
2016	6월	1,005	1	1	26	96	278	152	25	426
2016	7월	1,061	3	3	23	61	290	172	15	494
2016	8월	966	1	-	21	97	264	159	24	400
2016	9월	977	1	3	27	90	295	126	28	407
2016	10월	1,173	1	1	20	84	368	154	18	527
2016	11월	946	1	2	21	78	251	166	15	412
2016	12월	851	1	1	15	80	258	160	10	326
2017	합계	10,387	28	13	306	908	3,113	1,613	134	4,272
2017	1월	807	5	1	19	51	267	129	9	326
2017	2월	668	-	1	22	57	193	99	18	278
2017	3월	926	3	2	19	72	264	162	13	391
2017	4월	941	1	-	21	76	239	152	15	437
2017	5월	906	1	-	20	81	304	117	18	365
2017	6월	939	1	-	25	103	299	125	11	375
2017	7월	897	2	-	30	73	258	145	15	374
2017	8월	935	2	5	36	86	298	144	14	350
2017	9월	870	5	2	32	83	265	118	6	359
2017	10월	853	2	-	23	80	287	113	5	343
2017	11월	869	2	1	27	78	229	177	4	351
2017	12월	776	4	1	32	68	210	132	6	323
2018	합계	10,462	17	10	315	960	2,839	2,036	162	4,123
2018	1월	860	1	2	29	55	330	129	5	309
2018	2월	684	-	4	18	68	210	126	10	248
2018	3월	815	1	2	18	81	208	185	10	310
2018	4월	908	3	-	25	77	226	185	23	369
2018	5월	899	1	1	32	75	227	178	10	375
2018	6월	858	1	-	20	68	237	181	15	336
2018	7월	968	-	-	21	102	254	207	15	369
2018	8월	868	-	-	25	86	195	175	16	371
2018	9월	825	3	-	27	68	239	147	21	320
2018	10월	1,081	2	-	47	101	289	181	18	443
2018	11월	865	2	-	23	87	211	176	12	354
2018	12월	831	3	1	30	92	213	166	7	319
2019	합계	11,025	17	19	277	1,041	2,875	2,179	184	4,433
2019	1월	937	1	2	25	103	262	187	7	350
2019	2월	606	2	-	10	68	178	116	1	231
2019	3월	905	-	3	22	82	252	183	10	353
2019	4월	876	3	3	16	83	223	161	10	377
2019	5월	993	5	1	24	88	234	174	30	437
2019	6월	929	1	2	21	86	249	140	39	391
2019	7월	1,084	-	-	29	116	240	203	12	484
2019	8월	891	-	1	17	88	245	198	14	328
2019	9월	927	-	5	20	73	282	181	16	350
2019	10월	1,089	4	-	32	103	281	193	25	451
2019	11월	950	-	1	37	78	228	239	12	355
2019	12월	838	1	1	24	73	201	204	8	326
