sido,sgg_nm,age,date,popu_num,popu_male_num,popu_female_num,popu_sx_rate,local_num,local_male_num,local_female_num,local_sx_rate
서울특별시,종로구,합계,2017,157277,76670,80607,95.1,146298,71757,74541,96.3
서울특별시,종로구,0~4세,2017,4137,2099,2038,103,4011,2039,1972,103.4
서울특별시,종로구,0세,2017,694,336,358,93.9,675,327,348,94
서울특별시,종로구,1세,2017,836,429,407,105.4,805,412,393,104.8
서울특별시,종로구,2세,2017,878,459,419,109.5,850,447,403,110.9
서울특별시,종로구,3세,2017,879,435,444,98,856,424,432,98.1
서울특별시,종로구,4세,2017,850,440,410,107.3,825,429,396,108.3
서울특별시,종로구,5~9세,2017,4594,2365,2229,106.1,4511,2319,2192,105.8
서울특별시,종로구,5세,2017,982,513,469,109.4,961,499,462,108
서울특별시,종로구,6세,2017,890,457,433,105.5,872,448,424,105.7
서울특별시,종로구,7세,2017,888,437,451,96.9,877,432,445,97.1
서울특별시,종로구,8세,2017,890,454,436,104.1,879,450,429,104.9
서울특별시,종로구,9세,2017,944,504,440,114.5,922,490,432,113.4
서울특별시,종로구,10~14세,2017,5002,2567,2435,105.4,4935,2532,2403,105.4
서울특별시,종로구,10세,2017,985,507,478,106.1,975,501,474,105.7
서울특별시,종로구,11세,2017,943,499,444,112.4,931,492,439,112.1
서울특별시,종로구,12세,2017,934,484,450,107.6,918,473,445,106.3
서울특별시,종로구,13세,2017,1023,510,513,99.4,1010,505,505,100
서울특별시,종로구,14세,2017,1117,567,550,103.1,1101,561,540,103.9
서울특별시,종로구,15~19세,2017,10198,5267,4931,106.8,9358,4960,4398,112.8
서울특별시,종로구,15세,2017,1208,622,586,106.1,1196,614,582,105.5
서울특별시,종로구,16세,2017,1708,1020,688,148.3,1691,1010,681,148.3
서울특별시,종로구,17세,2017,2303,1379,924,149.2,2265,1360,905,150.3
서울특별시,종로구,18세,2017,2084,990,1094,90.5,1859,917,942,97.3
서울특별시,종로구,19세,2017,2895,1256,1639,76.6,2347,1059,1288,82.2
서울특별시,종로구,20~24세,2017,15098,6848,8250,83,12341,5908,6433,91.8
서울특별시,종로구,20세,2017,2969,1258,1711,73.5,2309,1047,1262,83
서울특별시,종로구,21세,2017,2942,1288,1654,77.9,2328,1084,1244,87.1
서울특별시,종로구,22세,2017,3029,1403,1626,86.3,2445,1195,1250,95.6
서울특별시,종로구,23세,2017,3020,1383,1637,84.5,2545,1218,1327,91.8
서울특별시,종로구,24세,2017,3138,1516,1622,93.5,2714,1364,1350,101
서울특별시,종로구,25~29세,2017,13584,7156,6428,111.3,12180,6519,5661,115.2
서울특별시,종로구,25세,2017,3016,1611,1405,114.7,2656,1465,1191,123
서울특별시,종로구,26세,2017,2952,1565,1387,112.8,2685,1442,1243,116
서울특별시,종로구,27세,2017,2728,1405,1323,106.2,2440,1282,1158,110.7
서울특별시,종로구,28세,2017,2447,1278,1169,109.3,2219,1165,1054,110.5
서울특별시,종로구,29세,2017,2441,1297,1144,113.4,2180,1165,1015,114.8
서울특별시,종로구,30~34세,2017,11100,5615,5485,102.4,10004,5054,4950,102.1
서울특별시,종로구,30세,2017,2371,1159,1212,95.6,2117,1038,1079,96.2
서울특별시,종로구,31세,2017,2219,1141,1078,105.8,1976,1012,964,105
서울특별시,종로구,32세,2017,2180,1117,1063,105.1,1986,1026,960,106.9
서울특별시,종로구,33세,2017,2145,1093,1052,103.9,1929,975,954,102.2
서울특별시,종로구,34세,2017,2185,1105,1080,102.3,1996,1003,993,101
서울특별시,종로구,35~39세,2017,10661,5347,5314,100.6,9855,4884,4971,98.2
서울특별시,종로구,35세,2017,2200,1111,1089,102,2018,1010,1008,100.2
서울특별시,종로구,36세,2017,2288,1155,1133,101.9,2129,1058,1071,98.8
서울특별시,종로구,37세,2017,2199,1086,1113,97.6,2034,999,1035,96.5
서울특별시,종로구,38세,2017,2069,1034,1035,99.9,1926,948,978,96.9
서울특별시,종로구,39세,2017,1905,961,944,101.8,1748,869,879,98.9
서울특별시,종로구,40~44세,2017,10810,5251,5559,94.5,10138,4866,5272,92.3
서울특별시,종로구,40세,2017,1967,923,1044,88.4,1836,851,985,86.4
서울특별시,종로구,41세,2017,2020,1018,1002,101.6,1879,929,950,97.8
서울특별시,종로구,42세,2017,2072,1023,1049,97.5,1946,953,993,96
서울특별시,종로구,43세,2017,2335,1134,1201,94.4,2205,1060,1145,92.6
서울특별시,종로구,44세,2017,2416,1153,1263,91.3,2272,1073,1199,89.5
서울특별시,종로구,45~49세,2017,13404,6598,6806,96.9,12604,6176,6428,96.1
서울특별시,종로구,45세,2017,2625,1345,1280,105.1,2451,1247,1204,103.6
서울특별시,종로구,46세,2017,2808,1428,1380,103.5,2643,1338,1305,102.5
서울특별시,종로구,47세,2017,2703,1315,1388,94.7,2534,1226,1308,93.7
서울특별시,종로구,48세,2017,2651,1266,1385,91.4,2506,1188,1318,90.1
서울특별시,종로구,49세,2017,2617,1244,1373,90.6,2470,1177,1293,91
서울특별시,종로구,50~54세,2017,12413,6134,6279,97.7,11645,5768,5877,98.1
서울특별시,종로구,50세,2017,2446,1182,1264,93.5,2312,1113,1199,92.8
서울특별시,종로구,51세,2017,2408,1160,1248,92.9,2255,1085,1170,92.7
서울특별시,종로구,52세,2017,2494,1222,1272,96.1,2332,1154,1178,98
서울특별시,종로구,53세,2017,2514,1267,1247,101.6,2361,1193,1168,102.1
서울특별시,종로구,54세,2017,2551,1303,1248,104.4,2385,1223,1162,105.2
서울특별시,종로구,55~59세,2017,12560,6237,6323,98.6,11922,5948,5974,99.6
서울특별시,종로구,55세,2017,2533,1314,1219,107.8,2370,1236,1134,109
서울특별시,종로구,56세,2017,2634,1281,1353,94.7,2557,1241,1316,94.3
서울특별시,종로구,57세,2017,2626,1221,1405,86.9,2495,1167,1328,87.9
서울특별시,종로구,58세,2017,2434,1251,1183,105.7,2302,1197,1105,108.3
서울특별시,종로구,59세,2017,2333,1170,1163,100.6,2198,1107,1091,101.5
서울특별시,종로구,60~64세,2017,10042,4918,5124,96,9530,4693,4837,97
서울특별시,종로구,60세,2017,2246,1099,1147,95.8,2106,1034,1072,96.5
서울특별시,종로구,61세,2017,2127,1056,1071,98.6,2029,1011,1018,99.3
서울특별시,종로구,62세,2017,2131,1027,1104,93,2042,986,1056,93.4
서울특별시,종로구,63세,2017,1903,957,946,101.2,1797,914,883,103.5
서울특별시,종로구,64세,2017,1635,779,856,91,1556,748,808,92.6
서울특별시,종로구,65~69세,2017,7154,3331,3823,87.1,6928,3228,3700,87.2
서울특별시,종로구,65세,2017,1710,842,868,97,1652,812,840,96.7
서울특별시,종로구,66세,2017,1215,551,664,83,1154,527,627,84.1
서울특별시,종로구,67세,2017,1406,645,761,84.8,1353,624,729,85.6
서울특별시,종로구,68세,2017,1393,643,750,85.7,1363,625,738,84.7
서울특별시,종로구,69세,2017,1430,650,780,83.3,1406,640,766,83.6
서울특별시,종로구,70~74세,2017,6076,2665,3411,78.1,5995,2635,3360,78.4
서울특별시,종로구,70세,2017,1451,650,801,81.1,1423,637,786,81
서울특별시,종로구,71세,2017,1134,496,638,77.7,1122,494,628,78.7
서울특별시,종로구,72세,2017,1132,492,640,76.9,1114,486,628,77.4
서울특별시,종로구,73세,2017,1146,467,679,68.8,1133,462,671,68.9
서울특별시,종로구,74세,2017,1213,560,653,85.8,1203,556,647,85.9
서울특별시,종로구,75~79세,2017,5380,2371,3009,78.8,5326,2351,2975,79
서울특별시,종로구,75세,2017,1383,621,762,81.5,1369,616,753,81.8
서울특별시,종로구,76세,2017,1152,520,632,82.3,1141,514,627,82
서울특별시,종로구,77세,2017,1011,455,556,81.8,1002,453,549,82.5
서울특별시,종로구,78세,2017,996,429,567,75.7,988,426,562,75.8
서울특별시,종로구,79세,2017,838,346,492,70.3,826,342,484,70.7
서울특별시,종로구,80~84세,2017,3025,1223,1802,67.9,2998,1211,1787,67.8
서울특별시,종로구,80세,2017,751,324,427,75.9,744,321,423,75.9
서울특별시,종로구,81세,2017,682,286,396,72.2,678,286,392,73
서울특별시,종로구,82세,2017,631,255,376,67.8,623,249,374,66.6
서울특별시,종로구,83세,2017,534,205,329,62.3,532,204,328,62.2
서울특별시,종로구,84세,2017,427,153,274,55.8,421,151,270,55.9
서울특별시,종로구,85세이상,2017,2039,678,1361,49.8,2017,666,1351,49.3
서울특별시,종로구,85~89세,2017,1412,488,924,52.8,1396,481,915,52.6
서울특별시,종로구,85세,2017,374,139,235,59.1,370,137,233,58.8
서울특별시,종로구,86세,2017,336,113,223,50.7,332,112,220,50.9
서울특별시,종로구,87세,2017,281,92,189,48.7,278,90,188,47.9
서울특별시,종로구,88세,2017,230,89,141,63.1,228,87,141,61.7
서울특별시,종로구,89세,2017,191,55,136,40.4,188,55,133,41.4
서울특별시,종로구,90~94세,2017,476,152,324,46.9,472,149,323,46.1
서울특별시,종로구,90세,2017,152,51,101,50.5,150,50,100,50
서울특별시,종로구,91세,2017,114,34,80,42.5,113,33,80,41.3
서울특별시,종로구,92세,2017,91,29,62,46.8,91,29,62,46.8
서울특별시,종로구,93세,2017,60,17,43,39.5,60,17,43,39.5
서울특별시,종로구,94세,2017,59,21,38,55.3,58,20,38,52.6
서울특별시,종로구,95~99세,2017,127,32,95,33.7,126,31,95,32.6
서울특별시,종로구,95세,2017,53,17,36,47.2,53,17,36,47.2
서울특별시,종로구,96세,2017,29,6,23,26.1,28,5,23,21.7
서울특별시,종로구,97세,2017,24,X,20,20,24,X,20,20
서울특별시,종로구,98세,2017,10,X,6,66.7,10,X,6,66.7
서울특별시,종로구,99세,2017,11,X,10,10,11,X,10,10
서울특별시,종로구,100세이상,2017,24,6,18,33.3,23,5,18,27.8
서울특별시,종로구,15세미만,2017,13733,7031,6702,104.9,13457,6890,6567,104.9
서울특별시,종로구,15~64세,2017,119870,59371,60499,98.1,109577,54776,54801,100
서울특별시,종로구,65세이상,2017,23674,10268,13406,76.6,23264,10091,13173,76.6
서울특별시,종로구,평균연령,2017,42.1,41.3,42.9,,42.6,41.6,43.6,
서울특별시,종로구,중위연령,2017,42.1,41.1,43.1,,43.1,41.9,44.2,
서울특별시,용산구,합계,2017,223898,108471,115427,94,207893,99759,108134,92.3
서울특별시,용산구,0~4세,2017,7975,4101,3874,105.9,7304,3763,3541,106.3
서울특별시,용산구,0세,2017,1496,738,758,97.4,1368,682,686,99.4
서울특별시,용산구,1세,2017,1654,864,790,109.4,1520,792,728,108.8
서울특별시,용산구,2세,2017,1644,867,777,111.6,1508,801,707,113.3
서울특별시,용산구,3세,2017,1602,823,779,105.6,1453,746,707,105.5
서울특별시,용산구,4세,2017,1579,809,770,105.1,1455,742,713,104.1
서울특별시,용산구,5~9세,2017,7791,3929,3862,101.7,7145,3605,3540,101.8
서울특별시,용산구,5세,2017,1699,846,853,99.2,1560,783,777,100.8
