sido,sgg_nm,sx,dead_num_2017,dptt_2017,age_stndrd_dptt_2017,dead_num_2018,dptt_2018,age_stndrd_dptt_2018,dead_num_2019,dptt_2019,age_stndrd_dptt_2019
서울특별시,종로구,남자,33,45.3,37.2,22,30.3,28.7,30,41.9,32
서울특별시,종로구,여자,12,15.9,12.4,8,10.6,9.6,9,12,11.4
서울특별시,중구,남자,20,33.4,26,17,28.4,20,20,33.4,28.5
서울특별시,중구,여자,7,11.5,6.4,7,11.4,9.7,5,8.1,8.8
서울특별시,용산구,남자,36,33.7,29.8,33,31,26.8,27,25.4,19.6
서울특별시,용산구,여자,16,14.2,12.8,18,16,14.6,13,11.5,11.1
서울특별시,성동구,남자,50,34.1,28.4,40,27,22.7,41,28,21.6
서울특별시,성동구,여자,17,11.3,8.5,21,13.7,12.2,16,10.5,10.2
서울특별시,광진구,남자,54,31.4,28,55,32.2,28.2,44,26.1,21.5
서울특별시,광진구,여자,17,9.4,9.5,23,12.8,11.5,23,12.8,9.9
서울특별시,동대문구,남자,55,31.8,26.7,58,33.9,28.6,55,32.5,25.2
서울특별시,동대문구,여자,9,5.2,4.1,29,16.9,13.8,23,13.5,12.2
서울특별시,중랑구,남자,74,36.8,30.9,77,38.8,31.1,80,40.9,32
서울특별시,중랑구,여자,31,15.3,11.9,26,12.9,10.1,35,17.6,15.4
서울특별시,성북구,남자,69,32.2,27.9,72,34.2,27.2,81,38.7,30.3
서울특별시,성북구,여자,27,12,10.9,35,15.8,13.6,30,13.5,11.3
서울특별시,강북구,남자,63,40.2,32.1,60,38.8,31.8,47,31,22.6
서울특별시,강북구,여자,21,12.9,10,26,16.1,13.9,25,15.7,13
서울특별시,도봉구,남자,69,41.1,35.1,54,32.7,27.6,53,32.6,26.3
서울특별시,도봉구,여자,29,16.7,11.6,24,13.9,14.3,27,15.9,14
서울특별시,노원구,남자,89,33,28.8,95,36,29.8,87,33.7,27.8
서울특별시,노원구,여자,40,14,11.4,43,15.4,12.5,40,14.6,11.9
서울특별시,은평구,남자,72,30.8,25.9,61,26.4,20.6,56,24.5,21.3
서울특별시,은평구,여자,36,14.6,13.4,39,15.9,13.4,38,15.5,12.8
서울특별시,서대문구,남자,42,28.3,23.4,52,35.3,29.2,46,31.5,25.9
서울특별시,서대문구,여자,15,9.5,7.8,23,14.6,11.2,33,21,17.3
서울특별시,마포구,남자,42,23.8,20.8,48,27.5,22.7,47,27,23.9
서울특별시,마포구,여자,29,15,12.9,27,14,12.5,27,14,11.8
서울특별시,양천구,남자,65,28.1,24.7,64,28.1,25.4,52,23.2,20.7
서울특별시,양천구,여자,19,8,8.4,22,9.4,7.6,32,13.8,13.4
서울특별시,강서구,남자,80,27.8,23.4,94,32.6,28.9,100,35.1,27.8
서울특별시,강서구,여자,40,13.2,11.8,46,15.1,13.8,42,13.9,11.6
서울특별시,구로구,남자,57,28,23.1,79,39.6,32.4,58,29.3,23.5
서울특별시,구로구,여자,20,9.7,9,32,15.7,14,26,12.8,11.8
서울특별시,금천구,남자,47,40,32.8,28,23.9,16.9,50,43,32.6
서울특별시,금천구,여자,17,14.9,11.9,19,16.7,12,23,20.4,19.4
서울특별시,영등포구,남자,54,29.9,24.2,56,31.2,24.7,62,34.6,26.8
서울특별시,영등포구,여자,19,10.5,8.8,25,13.8,12.6,21,11.6,10.3
서울특별시,동작구,남자,49,25.5,21.5,57,30,25.3,46,24.3,20.6
서울특별시,동작구,여자,24,11.9,9.1,28,14,12,24,12,9.2
서울특별시,관악구,남자,88,35.1,30.2,90,36.2,29.8,83,33.5,28.7
서울특별시,관악구,여자,28,11.4,10,34,13.8,12,39,15.9,13.9
서울특별시,서초구,남자,41,19.6,17.6,47,22.9,21.1,39,19.2,15.4
서울특별시,서초구,여자,24,10.6,9.8,26,11.6,10.5,26,11.8,11.6
서울특별시,강남구,남자,64,24.3,23.8,64,24.9,21.4,79,31.1,27.9
