시설번호,놀이시설명,주소1,주소2,설치일자,설치장소,한글주소,위도,경도
500536,진주초등학교 어린이놀이시설,,경상남도 진주시 진주성로24번길 7 (인사동),1895-09-24,학교,경상남도 진주시 진주성로24번길 7 (인사동),35.1930687,128.0783424
539182,봉래초등학교 어린이놀이시설,,경상남도 진주시 의병로 265 (봉래동),1910-07-01,학교,경상남도 진주시 의병로 265 (봉래동),35.1998502,128.0879677
37623,금곡초등학교 어린이놀이시설,,경상남도 진주시 금곡면 월아산로89번길 11,1923-09-10,학교,경상남도 진주시 금곡면 월아산로89번길 11,35.089813,128.184974
500509,봉원초등학교 어린이놀이시설,,경상남도 진주시 의병로 95-20 (상봉동),1967-05-31,학교,경상남도 진주시 의병로 95-20 (상봉동),35.2010664,128.0699194
500126,관봉초등학교 어린이놀이시설,,경상남도 진주시 정촌면 정촌로 629,1970-07-01,학교,경상남도 진주시 정촌면 정촌로 629,35.1370414,128.1436642
500173,미천초등학교 어린이놀이시설,,경상남도 진주시 미천면 안간길 18-8,1971-07-01,학교,경상남도 진주시 미천면 안간길 18-8,35.3189926,128.0879771
28054,상봉주공1차아파트 어린이놀이시설,,경상남도 진주시 창렬로 123 (상봉동),1979-06-15,주택단지,경상남도 진주시 창렬로 123 (상봉동),35.1984971,128.0707287
6273,대동아파트,,경상남도 진주시 도동천로184번길 7 (상대동 대동아파트),1979-11-01,주택단지,경상남도 진주시 도동천로184번길 7 (상대동 대동아파트),35.1861032,128.1192747
5214,상대주공아파트,,경상남도 진주시 상대로 101 (하대동 상대아파트),1980-01-01,주택단지,경상남도 진주시 상대로 101 (하대동 상대아파트),35.1852878,128.1238804
500523,예하초등학교 어린이놀이시설,,경상남도 진주시 정촌면 대축길 10,1980-05-01,학교,경상남도 진주시 정촌면 대축길 10,35.1234273,128.094552
3311,촉석아파트,,경상남도 진주시 솔밭로92번길 5 (상평동 촉석맨션),1980-12-20,주택단지,경상남도 진주시 솔밭로92번길 5 (상평동 촉석맨션),35.1778451,128.1075207
514688,봉래초등학교병설유치원 어린이놀이시설,,경상남도 진주시 의병로 265 (봉래동),1981-03-01,유치원,경상남도 진주시 의병로 265 (봉래동),35.1998502,128.0879677
518156,진성초등학교 어린이놀이시설,,경상남도 진주시 진성면 진성로355번길 10,1981-03-01,학교,경상남도 진주시 진성면 진성로355번길 10,35.1700679,128.22475
29827,사봉초등학교 어린이놀이시설,,경상남도 진주시 사봉면 사군로 99,1981-03-02,학교,경상남도 진주시 사봉면 사군로 99,35.1890632,128.269376
500134,남강초등학교 어린이놀이시설,,경상남도 진주시 모덕로 99 (상대동),1982-03-20,학교,경상남도 진주시 모덕로 99 (상대동),35.1835861,128.1090662
5215,하대주공아파트,,경상남도 진주시 상대로 125 (하대동 주공아파트),1982-07-01,주택단지,경상남도 진주시 상대로 125 (하대동 주공아파트),35.1853066,128.1262397
500507,봉원초등학교병설유치원 어린이놀이시설,,경상남도 진주시 의병로 95-20 (상봉동),1983-03-01,유치원,경상남도 진주시 의병로 95-20 (상봉동),35.2010664,128.0699194
500578,반야유치원 어린이놀이시설,,경상남도 진주시 문산읍 월아산로1094번길 10,1983-03-05,유치원,경상남도 진주시 문산읍 월아산로1094번길 10,35.1694811,128.1627798
7404,이현주공(1차)아파트,,경상남도 진주시 서장대로 247 (이현동),1983-12-01,주택단지,경상남도 진주시 서장대로 247 (이현동),35.1915446,128.0603458
6860,이현주공(2차)아파트,,경상남도 진주시 서장대로 247 (이현동),1984-12-01,주택단지,경상남도 진주시 서장대로 247 (이현동),35.1915446,128.0603458
33374,도동초등학교 어린이놀이시설,,경상남도 진주시 대신로 324 (하대동),1985-03-01,유치원,경상남도 진주시 대신로 324 (하대동),35.1898271,128.1178277
5176,칠암현대아파트,,경상남도 진주시 강남로255번길 18 (칠암동 현대아파트),1985-08-16,주택단지,경상남도 진주시 강남로255번길 18 (칠암동 현대아파트),35.1871739,128.0890596
534890,관봉초등학교병설유치원 어린이놀이시설,,경상남도 진주시 정촌면 정촌로 629,1985-09-02,유치원,경상남도 진주시 정촌면 정촌로 629,35.1370414,128.1436642
