"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"상광교동100",1,경기도 수원시 장안구 광교산로 541,경기도 수원시 장안구 상광교동 100,37.331073,127.014706,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동108-1",1,경기도 수원시 장안구 광교산로 566,경기도 수원시 장안구 상광교동 108-1,37.331537,127.016347,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동113-2",1,경기도 수원시 장안구 광교산로 552,경기도 수원시 장안구 상광교동 113-2,37.330813,127.015894,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동113-2",1,경기도 수원시 장안구 광교산로 552,경기도 수원시 장안구 상광교동 113-2,37.330831,127.015883,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동117",1,경기도 수원시 장안구 광교산로518번길 43-20,경기도 수원시 장안구 상광교동 117,37.329921,127.016955,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동121-1",1,,경기도 수원시 장안구 상광교동 121-1,37.329097,127.016526,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동126-1",1,,경기도 수원시 장안구 상광교동 126-1,37.329328,127.015022,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동133",1,,경기도 수원시 장안구 상광교동 133,37.328944,127.016595,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동135",1,경기도 수원시 장안구 광교산로518번길 30-11,경기도 수원시 장안구 상광교동 135,37.328914,127.017273,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동142",1,,경기도 수원시 장안구 상광교동 142,37.328139,127.015116,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동164",1,경기도 수원시 장안구 광교산로518번길 62,경기도 수원시 장안구 상광교동 164,37.329126,127.017902,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동167",1,,경기도 수원시 장안구 상광교동 167,37.329318,127.018193,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동171",1,경기도 수원시 장안구 광교산로518번길 81,경기도 수원시 장안구 상광교동 171,37.329275,127.018509,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동171",1,경기도 수원시 장안구 광교산로518번길 81,경기도 수원시 장안구 상광교동 171,37.329304,127.018723,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동177-4",1,,경기도 수원시 장안구 상광교동 177-4,37.329248,127.019582,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동19",1,,경기도 수원시 장안구 상광교동 19,37.338249,127.016147,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동196-1",1,,경기도 수원시 장안구 상광교동 196-1,37.326164,127.016056,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동205-4",1,,경기도 수원시 장안구 상광교동 205-4,37.323705,127.015028,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동22",1,,경기도 수원시 장안구 상광교동 22,37.337457,127.016361,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동22",1,,경기도 수원시 장안구 상광교동 22,37.337008,127.016445,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동22",1,,경기도 수원시 장안구 상광교동 22,37.337971,127.016196,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동221-2",1,,경기도 수원시 장안구 상광교동 221-2,37.321661,127.015144,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동240-4",1,,경기도 수원시 장안구 상광교동 240-4,37.321345,127.014054,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동241",1,,경기도 수원시 장안구 상광교동 241,37.321502,127.014492,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동25",1,,경기도 수원시 장안구 상광교동 25,37.336281,127.016658,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동25",1,,경기도 수원시 장안구 상광교동 25,37.336612,127.016575,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동272",1,경기도 수원시 장안구 광교산로 469,경기도 수원시 장안구 상광교동 272,37.323952,127.013309,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
"상광교동274",1,,경기도 수원시 장안구 상광교동 274,37.323921,127.013953,2008,한전주,031-228-5486,수원시 장안구,2021-05-20
