행정기관,연령(만),계,남,여
동읍,0,62,25,37
동읍,1 - 1,52,26,26
동읍,2 - 2,76,41,35
동읍,3 - 3,77,37,40
동읍,4 - 4,101,49,52
동읍,5 - 5,124,61,63
동읍,6 - 6,130,67,63
동읍,7 - 7,120,60,60
동읍,8 - 8,156,84,72
동읍,9 - 9,172,82,90
동읍,10 - 10,161,87,74
동읍,11 - 11,162,81,81
동읍,12 - 12,159,87,72
동읍,13 - 13,201,111,90
동읍,14 - 14,196,92,104
동읍,15 - 15,171,93,78
동읍,16 - 16,158,86,72
동읍,17 - 17,187,102,85
동읍,18 - 18,193,110,83
동읍,19 - 19,195,125,70
동읍,20 - 20,248,136,112
동읍,21 - 21,242,146,96
동읍,22 - 22,239,140,99
동읍,23 - 23,240,140,100
동읍,24 - 24,240,142,98
동읍,25 - 25,200,124,76
동읍,26 - 26,214,132,82
동읍,27 - 27,223,129,94
동읍,28 - 28,203,117,86
동읍,29 - 29,171,105,66
동읍,30 - 30,192,117,75
동읍,31 - 31,157,92,65
동읍,32 - 32,166,90,76
동읍,33 - 33,144,83,61
동읍,34 - 34,158,93,65
동읍,35 - 35,142,90,52
동읍,36 - 36,183,96,87
동읍,37 - 37,178,85,93
동읍,38 - 38,195,86,109
동읍,39 - 39,247,132,115
동읍,40 - 40,249,119,130
동읍,41 - 41,244,123,121
동읍,42 - 42,273,131,142
동읍,43 - 43,275,149,126
동읍,44 - 44,269,140,129
동읍,45 - 45,280,147,133
동읍,46 - 46,293,149,144
동읍,47 - 47,360,189,171
동읍,48 - 48,410,217,193
동읍,49 - 49,423,226,197
동읍,50 - 50,408,192,216
동읍,51 - 51,388,203,185
동읍,52 - 52,433,216,217
동읍,53 - 53,384,187,197
동읍,54 - 54,375,181,194
동읍,55 - 55,400,206,194
동읍,56 - 56,389,209,180
동읍,57 - 57,326,157,169
동읍,58 - 58,384,205,179
동읍,59 - 59,382,210,172
동읍,60 - 60,444,233,211
동읍,61 - 61,437,227,210
동읍,62 - 62,343,184,159
동읍,63 - 63,344,179,165
동읍,64 - 64,357,176,181
동읍,65 - 65,334,167,167
동읍,66 - 66,332,162,170
동읍,67 - 67,258,125,133
동읍,68 - 68,239,123,116
동읍,69 - 69,260,105,155
동읍,70 - 70,179,92,87
동읍,71 - 71,214,109,105
동읍,72 - 72,206,101,105
동읍,73 - 73,192,94,98
동읍,74 - 74,188,95,93
동읍,75 - 75,113,57,56
동읍,76 - 76,142,63,79
동읍,77 - 77,138,60,78
동읍,78 - 78,144,59,85
동읍,79 - 79,161,48,113
동읍,80 - 80,127,44,83
동읍,81 - 81,143,53,90
동읍,82 - 82,102,31,71
동읍,83 - 83,89,39,50
동읍,84 - 84,102,24,78
동읍,85 - 85,91,32,59
동읍,86 - 86,67,15,52
동읍,87 - 87,57,13,44
동읍,88 - 88,45,11,34
동읍,89 - 89,38,8,30
동읍,90 - 90,27,2,25
동읍,91 - 91,27,2,25
동읍,92 - 92,24,2,22
동읍,93 - 93,11,1,10
동읍,94 - 94,5,0,5
