"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"정촌초교옆",1,,경상남도 진주시 가좌동 1398,35.159683,128.109417,2016,,055-749-8806,경상남도 진주시,2020-12-30
"가좌동 박정숙씨댁앞",1,,경상남도 진주시 가좌동 1555-1,35.15204126,128.1255888,2010,전용주,055-749-8806,경상남도 진주시,2020-12-30
"롯데시네마 엠비씨네뒤",1,,경상남도 진주시 가좌동 1937,35.1644355,128.107726,2016,,055-749-8806,경상남도 진주시,2020-12-30
"무듬산옆",1,,경상남도 진주시 가좌동 1977,35.1520007,128.111946,2011,,055-749-8806,경상남도 진주시,2020-12-30
"진주남부농협하나로마트본점옆",1,,경상남도 진주시 가좌동 654-11,35.16273215,128.1073066,2016,,055-749-8806,경상남도 진주시,2020-12-30
"진주남부농협하나로마트본점뒤",1,,경상남도 진주시 가좌동 654-3,35.162552,128.107251,2016,,055-749-8806,경상남도 진주시,2020-12-30
"개양중맞은편",1,,경상남도 진주시 가좌동 669,35.15991756,128.109608,2016,,055-749-8806,경상남도 진주시,2020-12-30
"경대창업보육센터옆",1,,경상남도 진주시 가좌동 985,35.15075705,128.1014626,2010,,055-749-8806,경상남도 진주시,2020-12-30
"플러스렌트카",1,,경상남도 진주시 강남동 124-13,35.18546575,128.0860024,2012,,055-749-8806,경상남도 진주시,2020-12-30
"소람소아청소년병원",1,,경상남도 진주시 강남동 160-5,35.184347,128.0873188,2015,,055-749-8806,경상남도 진주시,2020-12-30
"현대아파트 주변",1,,경상남도 진주시 강남동 160-5,35.184347,128.0873188,2012,,055-749-8806,경상남도 진주시,2020-12-30
"망경새마을금고 본점",1,,경상남도 진주시 강남동 174,35.18436486,128.0875603,2012,,055-749-8806,경상남도 진주시,2020-12-30
"센텀병원",1,,경상남도 진주시 강남동 174,35.18424733,128.0880214,2012,,055-749-8806,경상남도 진주시,2020-12-30
"망경동성당",1,,경상남도 진주시 강남동 245-178,35.1805334,128.0880063,2012,,055-749-8806,경상남도 진주시,2020-12-30
"남양유업옆",1,,경상남도 진주시 강남동 383,35.18780083,128.0855217,2015,,055-749-8806,경상남도 진주시,2020-12-30
"재경장어옆",1,,경상남도 진주시 강남동 64-6,35.1877922,128.0849837,2015,,055-749-8806,경상남도 진주시,2020-12-30
"윤점식집앞",1,,경상남도 진주시 금곡면 가봉리 155,35.12589689,128.2306507,2008,,055-749-8806,경상남도 진주시,2020-12-30
"조영덕 집 앞",1,,경상남도 진주시 금곡면 가봉리 634-2,35.12531537,128.2186126,2008,,055-749-8806,경상남도 진주시,2020-12-30
"(구)삼조농장건너전주",1,,경상남도 진주시 금곡면 가봉리 산201-5,35.12311989,128.2213277,2008,,055-749-8806,경상남도 진주시,2020-12-30
"(구)삼조농장전주",1,,경상남도 진주시 금곡면 가봉리 산201-5,35.12311989,128.2213277,2008,,055-749-8806,경상남도 진주시,2020-12-30
"김점두 집 앞",1,,경상남도 진주시 금곡면 검암리 1201,35.11947572,128.1794074,2008,,055-749-8806,경상남도 진주시,2020-12-30
"운문마을버스정류장 뒤",1,,경상남도 진주시 금곡면 검암리 189-1,35.12220421,128.1984713,2008,,055-749-8806,경상남도 진주시,2020-12-30
"이순남집입구 갈림길",1,,경상남도 진주시 금곡면 검암리 295-1,35.1225341,128.2006664,2008,,055-749-8806,경상남도 진주시,2020-12-30
"하희진 집 앞",1,,경상남도 진주시 금곡면 검암리 295-1,35.1225341,128.2006664,2008,,055-749-8806,경상남도 진주시,2020-12-30
"하해도 집 앞",1,,경상남도 진주시 금곡면 검암리 519-1,35.11468338,128.1889742,2008,,055-749-8806,경상남도 진주시,2020-12-30
"하현희 집 앞",1,,경상남도 진주시 금곡면 검암리 519-1,35.11468338,128.1889742,2008,,055-749-8806,경상남도 진주시,2020-12-30
"하원근 앞",1,,경상남도 진주시 금곡면 동례리 1142-1,35.10672736,128.1806408,2008,,055-749-8806,경상남도 진주시,2020-12-30
"정재도앞",1,,경상남도 진주시 금곡면 동례리 99-2,35.10021203,128.1851454,2008,,055-749-8806,경상남도 진주시,2020-12-30
"백시관 대문 좌 전주",1,,경상남도 진주시 금곡면 두문리 302-2,35.10041156,128.1901476,2008,,055-749-8806,경상남도 진주시,2020-12-30
"정삼순 집 앞",1,,경상남도 진주시 금곡면 두문리 400-2,35.10145154,128.1937259,2008,,055-749-8806,경상남도 진주시,2020-12-30
"김덕용 집 앞",1,,경상남도 진주시 금곡면 두문리 411,35.10144161,128.1942963,2008,,055-749-8806,경상남도 진주시,2020-12-30
"김영기 집 앞",1,,경상남도 진주시 금곡면 두문리 46-1,35.10227844,128.1952306,2008,,055-749-8806,경상남도 진주시,2020-12-30
"서만수 대문 우측전주",1,,경상남도 진주시 금곡면 두문리 621-1,35.09202475,128.1864977,2008,,055-749-8806,경상남도 진주시,2020-12-30
"정정순집앞",1,,경상남도 진주시 금곡면 두문리 633-2,35.09013272,128.1858353,2008,,055-749-8806,경상남도 진주시,2020-12-30
"강연이 집 앞 우측전주",1,,경상남도 진주시 금곡면 두문리 636-7,35.09076416,128.1855626,2008,,055-749-8806,경상남도 진주시,2020-12-30
"김홍연 집 앞",1,,경상남도 진주시 금곡면 송곡리 257-4,35.1337661,128.2006942,2008,,055-749-8806,경상남도 진주시,2020-12-30
"정용규 집 앞",1,,경상남도 진주시 금곡면 송곡리 443-1,35.13262382,128.1991551,2008,,055-749-8806,경상남도 진주시,2020-12-30
