"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"월계1동",1,화랑로43길 2-12,서울특별시 노원구 월계동 493-16,37.6147040613,127.0632061323,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길2-14,서울특별시 노원구 월계동 493-20,37.6145709872,127.0632025085,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길2-32,서울특별시 노원구 월계동 493-8,37.6146420382,127.0629345884,,,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길6,서울특별시 노원구 월계동 479-39,37.6144766729,127.0629982159,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길2-26,서울특별시 노원구 월계동 493-10,37.6148093449,127.0629474149,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길2-34,서울특별시 노원구 월계동 493-19,37.6146421008,127.0628171347,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길2-15,서울특별시 노원구 월계동 493-4,37.6147929139,127.0626708122,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길 4-10,서울특별시 노원구 월계동 494-7,37.6144960096,127.0625550350,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길4-5,서울특별시 노원구 월계동 479-38,37.6144187241,127.0628577213,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길7,서울특별시 노원구 월계동 494-2,37.6146306538,127.0624860574,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길 13-1,서울특별시 노원구 월계동 493-22,37.6148889488,127.0625207056,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길17,서울특별시 노원구 월계동 51-11,37.6150525557,127.0627142968,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 51-37,,,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길 24,서울특별시 노원구 월계동 51-16,37.6148934467,127.0630420607,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길 30,서울특별시 노원구 월계동 51-13,37.6148834545,127.0633621345,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길 29,서울특별시 노원구 월계동 51-5,37.6150478640,127.0632330402,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길 26,서울특별시 노원구 월계동 51-15,37.6148784316,127.0631519134,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43나길 12,서울특별시 노원구 월계동 50-15,37.6150325018,127.0624724622,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 51-2,,,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-11,37.6145751123,127.0622218818,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-8,37.6146498708,127.0622665698,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-14,37.6145907625,127.0621020627,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-6,37.6146308134,127.0620126183,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-4,37.6146933789,127.0617706271,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-3,37.6147194905,127.0616308820,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 479-47,37.6147453419,127.0614715421,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 479-27,37.6158153792,127.0610791676,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 479-27,37.6158153792,127.0610791676,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-13,37.6150240038,127.0611512355,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 479-4,37.6153462335,127.0610811624,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 495-21,37.6152262619,127.0613513119,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43길34,서울특별시 노원구 월계동 492-1,37.6150590050,127.0615886883,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 492,,,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 492,,,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로 337,서울특별시 노원구 월계동 46-1,37.6152393519,127.0651692222,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로 337,서울특별시 노원구 월계동 46-1,37.6152393519,127.0651692222,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로 337,서울특별시 노원구 월계동 46-1,37.6152393519,127.0651692222,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로8가길 27,서울특별시 노원구 월계동 47-14,37.6155447589,127.0648930104,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로 337-17,서울특별시 노원구 월계동 62-9,37.6156744190,127.0650424058,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 402-17,37.6207585980,127.0585132902,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로8가길 19,서울특별시 노원구 월계동 61-5,37.6158723221,127.0647948679,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 65-6,,,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 65-1,,,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 65-1,,,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-65,37.6166393712,127.0645614126,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 64-2,,,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 64-6,37.6162421539,127.0646741081,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 61-4,37.6159568495,127.0647680974,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 447-24,37.6187673460,127.0593734821,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 47-2,37.6156771364,127.0648524635,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 47-17,37.6156774931,127.0646950260,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 64-18,37.6161446891,127.0643038728,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 63-8,,,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 393-8,,,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 63-9,37.6159464348,127.0643715478,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로8,서울특별시 노원구 월계동 47-18,37.6155710668,127.0647307254,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길10,서울특별시 노원구 월계동 58-2,37.6156336624,127.0641129218,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 55-3,37.6159380237,127.0639330918,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 58-8,37.6163058446,127.0640300223,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길15-1,서울특별시 노원구 월계동 55-14,37.6155547536,127.0639139618,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길15,서울특별시 노원구 월계동 55-11,37.6158207060,127.0637832554,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-68,37.6163999879,127.0638821780,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로5길11,서울특별시 노원구 월계동 55-0,,,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 64-19,37.6163058446,127.0640300223,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-21,37.6165048483,127.0637426110,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로7길 14,서울특별시 노원구 월계동 68-28,37.6163481664,127.0635757503,,,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 489-12,37.6156747734,127.0632299466,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 489-12,37.6156747734,127.0632299466,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 489-12,37.6156747734,127.0632299466,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로7길29-1,서울특별시 노원구 월계동 489-9,37.6157352007,127.0634518832,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-24,37.6164218632,127.0634157686,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로7길10,서울특별시 노원구 월계동 68-21,37.6165048483,127.0637426110,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로7길6-6,서울특별시 노원구 월계동 68-83,37.6165934473,127.0635163813,,,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길 31,서울특별시 노원구 월계동 68-32,37.6162890539,127.0629176275,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길 31,서울특별시 노원구 월계동 68-32,37.6162890539,127.0629176275,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 55-5,37.6159986383,127.0633052023,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-9,37.6161269040,127.0632024662,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,화랑로43가길13-1,서울특별시 노원구 월계동 487-9,37.6159505983,127.0628318272,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 487-11,37.6157747000,127.0628795902,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로5길31-7,서울특별시 노원구 월계동 487-13,37.6157726015,127.0627596411,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 487-12,37.6158784842,127.0627283557,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 487-16,37.6157526874,127.0625942579,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-21,37.6165048483,127.0637426110,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 487-18,37.6157659013,127.0624820237,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로5길39,서울특별시 노원구 월계동 487-23,37.6156919808,127.0622156768,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 490-1,37.6157204337,127.0620793299,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 490-1,37.6157204337,127.0620793299,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-14,37.6159139135,127.0616639218,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-58,37.6159264269,127.0611644337,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길58,서울특별시 노원구 월계동 68-52,37.6160517005,127.0614414696,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길70-6,서울특별시 노원구 월계동 68-53,37.6160517005,127.0614414696,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-95,37.6159684589,127.0615957813,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길58,서울특별시 노원구 월계동 68-50,37.6160693662,127.0617744837,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-39,37.6161229292,127.0620336788,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 486-16,37.6162176193,127.0622119240,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길 31-17,서울특별시 노원구 월계동 68-47,37.6160263564,127.0621798238,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-36,37.6161566322,127.0623641017,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-43,37.6161320422,127.0626908514,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-33,37.6162514702,127.0627718232,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 482-4,37.6161792291,127.0618845552,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길58,서울특별시 노원구 월계동 482-1,37.6163186101,127.0620597792,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로9길39,서울특별시 노원구 월계동 485-15,37.6164577130,127.0624197401,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 485-13,37.6165674839,127.0627019773,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-32,37.6162890539,127.0629176275,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길35-6,서울특별시 노원구 월계동 486-14,37.616342,127.062547,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로3길 34-7,서울특별시 노원구 월계동 486-2,37.6164920730,127.0632053804,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 485-12,37.6166111291,127.0628011216,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 484,37.6168638982,127.0630604877,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로11길29,서울특별시 노원구 월계동 69-17,37.6170216187,127.0633081084,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로11길 23,서울특별시 노원구 월계동 482-4,37.6161792291,127.0618845552,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 485-6,37.6167603017,127.0630284591,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로11길37-6,서울특별시 노원구 월계동 485-9,37.6166404153,127.0631313167,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 69-17,37.6170216187,127.0633081084,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 69-14,37.6168175817,127.0632395226,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 69-8,37.6171633158,127.0635284192,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 435-9,37.6169456876,127.0629297339,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 74-10,37.6171763601,127.0632303120,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 74-9,37.6175969943,127.0634672840,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 74-8,37.6177199465,127.0635279867,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 74-5,37.6179484351,127.0635314659,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로11길8,서울특별시 노원구 월계동 74-5,37.6179484351,127.0635314659,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 73-10,37.6175148353,127.0636138953,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-109,37.6167894907,127.0635380686,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-83,37.6165934473,127.0635163813,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 54-3,37.6155683153,127.0631575938,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 489-14,37.6156113955,127.0629647408,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길32,서울특별시 노원구 월계동 54-6,37.6155753400,127.0628257350,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 489-17,37.6156065390,127.0626095394,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 487-23,37.6156919808,127.0622156768,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 490-9,37.6157225736,127.0619505498,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 491-8,37.6157483030,127.0616808880,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 491,37.6157502368,127.0614280828,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 487-22,37.6156793874,127.0623476195,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 479-26,37.6158464375,127.0609547150,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길76,서울특별시 노원구 월계동 472-39,37.6160881694,127.0606111525,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 472-37,37.6161881971,127.0604003336,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 472-37,37.6161881971,127.0604003336,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,석계로1길78,서울특별시 노원구 월계동 476-22,37.6158464375,127.0609547150,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 483,37.6161515398,127.0607263947,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 475-2,37.6170377091,127.0597508703,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 475-2,37.6170377091,127.0597508703,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 475-2,37.6170377091,127.0597508703,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,광운로2나길30,서울특별시 노원구 월계동 475-4,37.6167741867,127.0598958668,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 480-7,37.6170840894,127.0603226777,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,광운로2가길14-21,서울특별시 노원구 월계동 438,37.6175594998,127.0605785931,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 438,37.6175594998,127.0605785931,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 438,37.6175594998,127.0605785931,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 436,37.6161515398,127.0607263947,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 438,37.6175594998,127.0605785931,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,광운로19가길43,서울특별시 노원구 월계동 376-56,37.6250134165,127.0587018359,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 산190,37.6193203481,127.0583380669,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 산190,37.6193203481,127.0583380669,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 448-3,37.6193203481,127.0583380669,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 448-3,37.6193203481,127.0583380669,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 447-2,37.6184849781,127.0590109106,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 448-3,37.6193203481,127.0583380669,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 445,37.6186917034,127.0600061433,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 473-12,37.6179804949,127.0592307050,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 473-12,37.6179804949,127.0592307050,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 474-3,37.6176104571,127.0592348289,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 474-3,37.6176104571,127.0592348289,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 441,37.6186917034,127.0600061433,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 474-8,37.6172239089,127.0598188662,,한전주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 68-54,37.6160213855,127.0611750451,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,,서울특별시 노원구 월계동 441,37.6186917034,127.0600061433,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,광운로2나길11,서울특별시 노원구 월계동 480,37.6169285115,127.0601014559,,건축물,02-2116-4157,노원구청 토목과,2021-09-16
"월계1동",1,광운로2가길 10-16,서울특별시 노원구 월계동 476-9,,,,전용주,02-2116-4157,노원구청 토목과,2021-09-16
