"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"공덕1동",1,만리재로124길18,11-56,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로95길 24-5,11월 20일,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로95길 24-4,11월 16일,,,2005,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창목5길 18,11-181,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로95길 16,10월 20일,,,2017,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12나길 26,11월 05일,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로124길 22,11월 23일,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12나길15-3,11-96,,,2013,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12가길 14,11월 29일,,,2007,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로14길 36,9-75,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12가길 21,9-73,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12가길 29,9-48,,,2007,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12가길 29-3,9-47,,,2007,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로97길 10,09월 01일,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로97길 12,10월 10일,,,2005,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12나길32,10월 07일,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 23-6,10월 30일,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로97길 17,7-173,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로95길 4,7-166,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로97길 20,10월 23일,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 11-19,7-76,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 11-9,7-37,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 11-13,7-33,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로97길 4,7-32,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 11-8,7-94,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로 253-6,7-60,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로253-29,7-53,,,2007,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,효창원로 253-21,7-47,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 7,7-50,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길 11-4,7-101,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로14길 48,09월 23일,,,2005,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16길 28,07월 08일,,,2005,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로20길 29,6-48,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16길 33,6-50,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로20길 29,6-48,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16길 22,4-40,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로16안길10,7-116,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로14길 41,7-112,,,2005,한전주,02-3153-9774,서울특별시 마포구청,2021-08-12
"공덕1동",1,만리재로12나길 14-3,11-76,,,2007,전용주,02-3153-9774,서울특별시 마포구청,2021-08-12
