"연령별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"연령별(1)",경기도,경기도,경기도,수원시,수원시,수원시,용인시,용인시,용인시,성남시,성남시,성남시,부천시,부천시,부천시,안산시,안산시,안산시,화성시,화성시,화성시,안양시,안양시,안양시,평택시,평택시,평택시,시흥시,시흥시,시흥시,김포시,김포시,김포시,광명시,광명시,광명시,광주시,광주시,광주시,군포시,군포시,군포시,이천시,이천시,이천시,오산시,오산시,오산시,하남시,하남시,하남시,안성시,안성시,안성시,의왕시,의왕시,의왕시,여주시,여주시,여주시,과천시,과천시,과천시,양평군,양평군,양평군,고양시,고양시,고양시,남양주시,남양주시,남양주시,의정부시,의정부시,의정부시,파주시,파주시,파주시,양주시,양주시,양주시,구리시,구리시,구리시,포천시,포천시,포천시,동두천시,동두천시,동두천시,가평군,가평군,가평군,연천군,연천군,연천군
"연령별(1)",계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"합계",414318,250595,163723,40557,21499,19058,18982,10931,8051,17618,8878,8740,25689,13486,12203,56467,32567,23900,40553,29198,11355,7420,3670,3750,24108,14114,9994,34697,20784,13913,20335,15890,4445,5942,2995,2947,12986,8992,3994,7010,3670,3340,7515,4654,2861,9696,5083,4613,2279,1324,955,11802,7638,4164,1191,591,600,3576,2269,1307,173,82,91,1500,679,821,12508,6471,6037,7477,4619,2858,4908,2252,2656,11572,8407,3165,7464,5600,1864,1490,750,740,13264,10275,2989,3477,2029,1448,1047,451,596,1015,747,268
"0~4세",14885,7693,7192,1995,1058,937,405,215,190,526,252,274,1466,764,702,3031,1550,1481,892,448,444,308,173,135,1002,505,497,1800,954,846,336,161,175,303,155,148,219,114,105,344,165,179,96,53,43,682,357,325,21,10,11,349,188,161,26,14,12,25,16,9,4,2,2,12,7,5,368,187,181,76,45,31,113,56,57,161,86,75,90,37,53,31,16,15,91,39,52,96,55,41,14,10,4,3,1,2
"5~9세",9541,4749,4792,1244,606,638,264,135,129,379,188,191,872,415,457,1973,986,987,576,287,289,194,89,105,611,288,323,1109,592,517,221,120,101,175,90,85,204,102,102,189,96,93,80,44,36,340,178,162,14,5,9,280,137,143,27,10,17,23,14,9,1,-,1,8,5,3,253,116,137,63,36,27,91,37,54,89,45,44,67,35,32,22,9,13,82,39,43,65,33,32,20,10,10,5,2,3
"10~14세",5038,2550,2488,537,257,280,155,81,74,237,124,113,423,222,201,1178,565,613,343,170,173,94,45,49,352,185,167,485,257,228,116,72,44,78,36,42,94,49,45,66,35,31,28,13,15,129,74,55,14,7,7,161,79,82,5,2,3,13,2,11,1,1,-,7,2,5,139,73,66,46,23,23,64,39,25,73,38,35,59,33,26,9,5,4,52,21,31,54,26,28,24,14,10,2,-,2
"15~19세",6555,2995,3560,931,334,597,553,258,295,439,205,234,416,210,206,1021,488,533,419,186,233,97,47,50,508,229,279,306,145,161,143,69,74,57,28,29,102,44,58,67,31,36,71,44,27,159,80,79,17,9,8,311,132,179,10,6,4,20,7,13,1,1,-,16,2,14,155,71,84,82,34,48,192,76,116,68,36,32,83,48,35,17,8,9,207,108,99,47,31,16,24,14,10,16,14,2
"20~24세",36642,23915,12727,3127,1536,1591,3419,1837,1582,1541,766,775,1286,695,591,3022,1963,1059,4291,3324,967,483,207,276,2157,1321,836,1707,1193,514,1974,1668,306,163,77,86,1648,1219,429,303,152,151,900,584,316,383,205,178,211,130,81,1525,1053,472,111,57,54,608,393,215,7,5,2,204,88,116,928,513,415,953,644,309,794,425,369,1255,1058,197,933,754,179,119,76,43,2088,1634,454,270,174,96,90,43,47,142,121,21
"25~29세",61811,44019,17792,3728,2108,1620,3253,2153,1100,1694,828,866,2054,1110,944,5402,3719,1683,8848,7150,1698,667,304,363,3251,2143,1108,4041,2912,1129,4955,4375,580,397,213,184,2659,2095,564,590,316,274,2000,1322,678,719,382,337,425,289,136,2209,1627,582,207,109,98,971,679,292,24,11,13,358,176,182,1767,1051,716,1620,1163,457,758,345,413,2674,2219,455,1762,1471,291,247,144,103,3582,2993,589,563,324,239,125,70,55,261,218,43
