연도,분기,행정구역,구분,합계,연령0_4세,연령5_9세,연령10_14세,연령15_19세,연령20_24세,연령25_29세,연령30_34세,연령35_39세,연령40_44세,연령45_49세,연령50_54세,연령55_59세,연령60_64세,연령65_69세,연령70_74세,연령75_79세,연령80_84세,연령85_89세,연령90_94세,연령95_100세,연령_100세이상
2021,2분기,종로구,한국인,146029,2937,4338,4996,5688,10179,12968,10171,9424,9930,11503,12961,11978,11570,8622,6356,5435,3998,1987,730,206,52
2021,2분기,종로구,등록외국,9077,95,144,128,217,3032,1519,766,644,567,460,473,531,282,121,60,15,12,7,4, , 
2021,2분기,중구,한국인,123016,3091,3414,3119,3544,7412,10911,10154,9727,8845,8893,10258,9945,10082,7674,5690,4630,3134,1635,650,149,59
2021,2분기,중구,등록외국,9243,195,294,223,212,1649,1422,976,901,677,600,624,732,379,192,82,45,24,11,3,2, 
2021,2분기,용산구,한국인,226378,6081,7076,7091,8053,13646,19959,19596,18565,16991,17781,19141,17291,16732,12123,9011,7319,5499,2958,1072,302,91
2021,2분기,용산구,등록외국,14287,497,784,608,447,837,1388,1778,1946,1645,1304,1163,867,514,253,140,69,29,8,4,4,2
2021,2분기,성동구,한국인,289162,9683,10159,9064,10349,19169,25205,23425,24281,21965,22023,24038,22476,21915,15217,11412,8818,5966,2794,927,195,81
2021,2분기,성동구,등록외국,6605,114,116,66,118,1589,1211,688,533,397,384,451,510,247,108,38,18,5,5,2,2,3
2021,2분기,광진구,한국인,342481,7788,10788,12061,13259,25671,36681,29172,25956,24825,26451,28218,25612,25466,18065,12710,9347,6272,2872,954,242,71
2021,2분기,광진구,등록외국,12825,316,323,204,260,2882,2154,1224,959,668,653,965,1336,599,180,60,17,12,10,1,1,1
2021,2분기,동대문구,한국인인,338040,9007,10975,11021,12224,25736,30422,24469,24793,24272,25203,27149,25148,26570,20401,15258,12207,7992,3686,1155,272,80
2021,2분기,동대문구,등록외국,14219,148,172,98,324,5481,3403,1306,745,514,423,492,629,273,122,45,13,15,12,3,1, 
2021,2분기,중랑구,한국인,389972,9902,12127,12200,13752,22958,32522,28811,28239,27554,28939,34217,34005,34701,25112,17932,13191,8400,3746,1287,300,77
2021,2분기,중랑구,등록외국,4707,175,150,104,80,461,648,737,515,354,320,383,458,195,79,35,7,1,3,2, , 
2021,2분기,성북구,한국인,433658,11838,16530,17444,19225,31977,34206,28401,30848,32169,36568,37413,31620,32026,24001,18163,14613,9922,4606,1632,351,105
2021,2분기,성북구,등록외국,9548,144,135,95,318,3271,2114,1000,669,450,352,353,314,158,95,37,20,12,9, ,1,1
