,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
86,서울특별시 영등포구,"선유로13길 25,서울영문초등학교 사거리앞",선유로13길 25,3,2018-08,37.5193534457,126.8869604124
248,서울특별시 영등포구,도림로 153 남부도로교통사업소 담벼락 앞,대림3동 710-14 서울 남부도로사업소 내 신규폴(파리바게트 대림역점 맞은편),1,2006-02,37.494118133,126.8985484456
344,중앙혈액검사센터,서울특별시 강서구 공항대로 69길,서울특별시 강서구 염창동 280-21,16,2008-10,37.548465,126.871295
346,서울병원,서울특별시 종로구 새문안로 9,서울특별시 종로구 평동 164,62,2009-03,37.56714,126.967057
352,본사,서울특별시 중구 소파로 145,서울특별시 중구 남산동3가 32-2번지,15,2012-12,37.55988,126.988046
356,서울지사,서울특별시 성동구 고산자로 356,서울특별시 성동구 마장동 523-1,3,2016-01,37.571382,127.03841
357,서울지사,서울특별시 양천구 중앙로 345,서울특별시 양천구 신월동 472-1,14,2013-01,37.526327,126.848762
358,서울지사,서울특별시 마포구 새창로6길 30,서울특별시 마포구 도화동 185-26,3,2013-02,37.540904,126.95226
359,서울지사,서울특별시 노원구 동일로 1329,서울특별시 노원구 상계동 764,7,2013-02,37.646946,127.062078
2705,서울특별시 송파구청,,서울특별시 송파구 문정동 150-5,1,2020-01,37.49086,127.113426
2706,서울특별시 송파구청,,서울특별시 송파구 잠실본동 313-10,1,2020-01,37.505554,127.083321
2707,서울특별시 송파구청,,서울특별시 송파구 문정동 150-4,1,2020-01,37.491196,127.114494
2708,서울특별시 송파구청,,서울특별시 송파구 문정2동 150-17,1,2020-01,37.490238,127.111435
2709,서울특별시 송파구청,,서울특별시 송파구 잠실동 294-32,1,2020-01,37.506195,127.081177
2710,서울특별시 송파구청,,서울특별시 송파구 잠실동 196,1,2020-01,37.510239,127.078862
2711,서울특별시 송파구청,,서울특별시 송파구 잠실본동 336-9,1,2020-01,37.503317,127.086909
2712,서울특별시 송파구청,,서울특별시 송파구 잠실동 335-2,1,2020-01,37.504883,127.085701
2713,서울특별시 송파구청,,서울특별시 송파구 잠실본동 184-5,1,2020-01,37.511433,127.08477
2714,서울특별시 송파구청,,서울특별시 송파구 잠실동 40-1,1,2020-01,37.511929,127.095238
2715,서울특별시 송파구청,,서울특별시 송파구 잠실동 35-2,1,2020-01,37.510384,127.086166
2716,서울특별시 송파구청,,서울특별시 송파구 신천동 29,1,2020-01,37.51342,127.101395
2717,서울특별시 송파구청,,서울특별시 송파구 신천동 29-5,1,2020-01,37.514458,127.106934
2718,서울특별시 송파구청,,서울특별시 송파구 잠실동 308,1,2020-01,37.5039,127.0788
2719,서울특별시 송파구청,,서울특별시 송파구 잠실동 308,1,2020-01,37.5039,127.0788
2720,서울특별시 송파구청,,서울특별시 송파구 잠실동 308,1,2020-01,37.5039,127.0788
2721,서울특별시 송파구청,,서울특별시 송파구 신천동 14,1,2020-01,37.52242,127.103
2722,서울특별시 송파구청,,서울특별시 송파구 신천동 14,1,2020-01,37.52242,127.103
2723,서울특별시 송파구청,,서울특별시 송파구 신천동 14,1,2020-01,37.52242,127.103
2724,서울특별시 송파구청,,서울특별시 송파구 풍납동 387,1,2020-01,37.5251,127.1062
2725,서울특별시 송파구청,,서울특별시 송파구 풍납동 387,1,2020-01,37.5251,127.1062
2726,서울특별시 송파구청,,서울특별시 송파구 풍납동 387,1,2020-01,37.5251,127.1062
2727,서울특별시 송파구청,,서울특별시 송파구 풍납동 387,1,2020-01,37.5251,127.1062
2728,서울특별시 송파구청,,서울특별시 송파구 신천동 21,1,2020-01,37.52374,127.1096
2729,서울특별시 송파구청,,서울특별시 송파구 신천동 21,1,2020-01,37.52374,127.1096
2730,서울특별시 송파구청,,서울특별시 송파구 신천동 21,1,2020-01,37.52374,127.1096
2731,서울특별시 송파구청,,서울특별시 송파구 가락동 509,1,2020-01,37.4977,127.0989
2732,서울특별시 송파구청,,서울특별시 송파구 가락동 509,1,2020-01,37.4977,127.0989
2733,서울특별시 송파구청,,서울특별시 송파구 가락동 509,1,2020-01,37.4977,127.0989
2734,서울특별시 송파구청,,서울특별시 송파구 가락동 509,1,2020-01,37.4977,127.0989
2735,서울특별시 송파구청,,서울특별시 송파구 서울특별시 송파구 풍납동 94-4,1,2020-12,37.539415,127.120189
2736,서울특별시 송파구청,,서울특별시 송파구 신천동 29-5,1,2020-01,37.51448,127.1063
2737,서울특별시 송파구청,,서울특별시 송파구 거여2동 296-2,1,2020-01,37.488433,127.144403
2738,서울특별시 송파구청,,서울특별시 송파구 거여2동 291-1,1,2020-01,37.490919,127.147464
3221,경상남도 진주시청,경상남도 진주시 상평동 가람초 서울빌라,경상남도 진주시 상평동 가람초 서울빌라,2,2018-12,35.173763,128.100537
3276,경상남도 진주시청,경상남도 진주시 상평동 가람초 서울빌라,경상남도 진주시 상평동 가람초 서울빌라,1,2018-12,35.173888,128.100607
3581,경상남도 진주시청,경상남도 진주시 평거동 297-7 서울가든,경상남도 진주시 평거동 297-7 서울가든,2,2018-12,35.173054,128.058814
3909,서울특별시_서초구,서울특별시 서초구 나루터로4길 39,서울특별시 서초구 잠원동58-14,1,2019-12,37.5125168,127.0141197
3910,서울특별시_서초구,서울특별시 서초구 신반포로23길 30,서울특별시 서초구 잠원동72-4,1,2019-12,37.5087472,127.0035315
3911,서울특별시_서초구,서울특별시 서초구 신반포로23길48,서울특별시 서초구 잠원동 72-1,1,2019-11,37.509143,127.0036654
3912,서울특별시_서초구,서울특별시 서초구 신반포로23길48,서울특별시 서초구 잠원동 72-1,1,2019-11,37.509143,127.0036654
3913,서울특별시_서초구,서울특별시 서초구 신반포로23길48,서울특별시 서초구 잠원동 72-1,1,2019-11,37.509143,127.0036654
3914,서울특별시_서초구,서울특별시 서초구 서울 서초구 잠원동 50-4,서울특별시 서초구 잠원동 50-4,1,2019-12,37.51707322,127.0153839
3915,서울특별시_서초구,서울특별시 서초구 서초구 잠원동 33-6,서울특별시 서초구  잠원동 33-6,1,2019-12,37.51210784,127.0165934
3916,서울특별시_서초구,서울특별시 서초구 서초구 잠원동 30-10,서울특별시 서초구  잠원동 30-10,1,2019-12,37.513274,127.018308
3917,서울특별시_서초구,서울특별시 서초구 잠원동 64-8,서울특별시 서초구 잠원동 64-8,1,2019-12,37.5144760279,127.007012911
3918,서울특별시_서초구,서울특별시 서초구 잠원동 66,서울특별시 서초구 잠원동 66,1,2019-12,37.5100617,127.0084591
3919,서울특별시_서초구,서울특별시 서초구 잠원동 66,서울특별시 서초구 잠원동 66,1,2019-12,37.5100617,127.0084591
3920,서울특별시_서초구,서울특별시 서초구 잠원동 66,서울특별시 서초구 잠원동 66,1,2019-12,37.5100617,127.0084591
3921,서울특별시_서초구,서울특별시 서초구 잠원동 66,서울특별시 서초구 잠원동 66,1,2019-12,37.5100617,127.0084591
3922,서울특별시_서초구,서울특별시 서초구 반포1동720,서울특별시 서초구 반포1동720,1,2019-12,37.50760455,127.020131
3923,서울특별시_서초구,서울특별시 서초구 반포동 30-4,서울특별시 서초구  반포동 30-4,1,2019-12,37.50364497,127.0149353
3924,서울특별시_서초구,서울특별시 서초구 신반포로15길 28,서울특별시 서초구 반포2동4-2,1,2019-12,37.5050763,126.9948069
3925,서울특별시_서초구,서울특별시 서초구 신반포로15길 28,서울특별시 서초구 반포2동4-2,1,2019-12,37.5050763,126.9948069
3926,서울특별시_서초구,서울특별시 서초구 신반포로15길 28,서울특별시 서초구 반포2동4-2,1,2019-12,37.5050763,126.9948069
3927,서울특별시_서초구,서울특별시 서초구 반포4동53-1,서울특별시 서초구 반포4동53-1,1,2019-12,37.501715,127.010746
3928,서울특별시_서초구,서울특별시 서초구 반포동 산93,서울특별시 서초구  반포동 산93,1,2019-12,37.49475401,127.0035123
3929,서울특별시_서초구,서울특별시 서초구  반포동 산93,서울특별시 서초구  반포동 산93,1,2019-12,37.49583607,127.0033698
3930,서울특별시_서초구,서울특별시 서초구 반포동 산93,서울특별시 서초구  반포동 산93,1,2019-12,37.49476689,127.003262
3931,서울특별시_서초구,서울특별시 서초구 반포동 산93,서울특별시 서초구  반포동 산93,1,2019-12,37.4959631,127.0035264
3932,서울특별시_서초구,서울특별시 서초구 반포동 산93,서울특별시 서초구  반포동 산93,1,2019-12,37.49476689,127.003262
3933,서울특별시_서초구,서울특별시 서초구 반포동 71-6,서울특별시 서초구  반포동 71-6,1,2019-12,37.498275,127.000342
3934,서울특별시_서초구,서울특별시 서초구 반포4동 86-1,서울특별시 서초구  반포4동 86-1,1,2019-12,37.49591827,126.999489
3936,서울특별시_서초구,서울특별시 서초구 서초3동 1518-1,서울특별시 서초구 서초3동 1518-1,1,2019-12,37.4859327,127.005422
3937,서울특별시_서초구,서울특별시 서초구 서초대로46길19-18,서울특별시 서초구 서초동 1556-4,1,2019-11,37.491627,127.0111571
3938,서울특별시_서초구,서울특별시 서초구 서초대로46길19-18,서울특별시 서초구 서초동 1556-4,1,2019-11,37.4916058,127.0111571
3939,서울특별시_서초구,서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,1,2019-03,37.49064391,127.0070468
3940,서울특별시_서초구,서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,1,2019-03,37.49064391,127.0070468
3941,서울특별시_서초구,서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,1,2019-03,37.49064391,127.0070468
3942,서울특별시_서초구,서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,1,2019-03,37.49064391,127.0070468
3943,서울특별시_서초구,서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,1,2019-03,37.4903042,127.0071006
