행정구역,구분,합계,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
강남구,등록외국,4732,114,152,1319,1570,788,516,204,69
강남구,한국인,531375,35384,58183,71666,79063,97714,80287,60385,48693
강동구,등록외국,3885,196,118,634,971,684,927,304,51
강동구,한국인,465209,35388,39098,61387,72596,75103,71889,65729,44019
강북구,등록외국,3448,153,80,1081,804,499,542,230,59
강북구,한국인,302645,14906,21310,41995,37702,45257,51740,46816,42919
강서구,등록외국,5476,312,126,796,1541,965,1177,449,110
강서구,한국인,577519,38228,44017,86728,98479,90187,84710,78490,56680
관악구,등록외국,13898,641,462,3195,2928,1863,3367,1256,186
관악구,한국인,488800,21044,27873,108741,85734,66796,67131,59620,51861
광진구,등록외국,12825,639,464,5036,2183,1321,2301,779,102
광진구,한국인,342481,18576,25320,62352,55128,51276,53830,43531,32468
구로구,등록외국,25316,1699,785,1821,4849,4404,8474,2916,368
구로구,한국인,399266,26799,29575,54803,61653,62047,62305,56937,45147
금천구,등록외국,14517,1062,467,933,2651,2610,5062,1540,192
금천구,한국인,230168,12028,14295,37184,35651,32099,39505,33986,25420
노원구,등록외국,4008,118,183,1862,829,437,394,150,35
노원구,한국인,515997,31763,51468,71705,63730,83729,87067,69672,56863
도봉구,등록외국,2054,87,63,569,558,344,310,107,16
도봉구,한국인,320365,17841,24819,42520,39828,47191,56062,50807,41297
동대문구,등록외국,14219,320,422,8884,2051,937,1121,395,89
동대문구,한국인인,338040,19982,23245,56158,49262,49475,52297,46971,40650
동작구,등록외국,9384,311,272,3484,1554,1004,1878,762,119
동작구,한국인,387847,23873,27291,65435,61569,58061,57788,50031,43799
마포구,등록외국,9852,333,348,4233,2184,1159,948,472,175
마포구,한국인,370132,24276,28115,61815,63856,60539,54490,40492,36549
서대문구,등록외국,10629,243,524,5488,1748,987,843,541,255
서대문구,한국인,307070,19452,23065,49525,44493,46171,48627,39141,36596
서초구,등록외국,3767,262,249,619,1040,829,539,180,49
서초구,한국인,418407,32547,44845,53637,61166,76005,62969,48173,39065
성동구,등록외국,6605,230,184,2800,1221,781,961,355,73
성동구,한국인,289162,19842,19413,44374,47706,43988,46514,37132,30193
성북구,등록외국,9548,279,413,5385,1669,802,667,253,80
성북구,한국인,433658,28368,36669,66183,59249,68737,69033,56027,49392
송파구,등록외국,5671,271,151,854,1546,998,1354,408,89
송파구,한국인,658670,48533,57871,92215,107398,107534,101179,86178,57762
양천구,등록외국,3296,135,115,465,789,622,830,269,71
양천구,한국인,450992,30688,50002,58724,56731,77790,76068,59438,41551
영등포구,등록외국,24954,1645,865,1661,4498,4312,8586,2941,446
영등포구,한국인,377421,25422,23873,59111,69267,55865,56182,47717,39984
용산구,등록외국,14287,1281,1055,2225,3724,2949,2030,767,256
용산구,한국인,226378,13157,15144,33605,38161,34772,36432,28855,26252
은평구,등록외국,4038,189,194,747,1055,691,752,310,100
은평구,한국인,475371,28620,37782,66395,67380,75071,76763,65915,57445
종로구,등록외국,9077,239,345,4551,1410,1027,1004,403,98
종로구,한국인,146029,7275,10684,23147,19595,21433,24939,20192,18764
중구,등록외국,9243,489,435,3071,1877,1277,1356,571,167
중구,한국인,123016,6505,6663,18323,19881,17738,20203,17756,15947
중랑구,등록외국,4707,325,184,1109,1252,674,841,274,48
중랑구,한국인,389972,22029,25952,55480,57050,56493,68222,59813,44933
