,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
364,경기도지사,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6,9,2000-01,37.259429,127.03038
6247,경기도혈액원,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6번지,6,2012-10,37.259429,127.03038
6249,경기도혈액원,경기도 수원시 팔달구 덕영대로 923-1 새수원빌딩 4층,경기도 수원시 팔달구 매산로1가 57-104 새수원빌딩 4층,2,2015-11,37.266146,127.001686
7787,경기도 수원시,경기도 수원시 팔달구 창룡대로103번길 41,경기도 수원시 팔달구 매향동 121-136,4,2017-05,37.2866498,127.0227291
7788,경기도 수원시,경기도 수원시 장안구 연무로13번길 13,경기도 수원시 장안구 연무동 239-22,1,2017-05,37.2932893,127.0283584
7790,경기도 수원시,경기도 수원시 장안구 창훈로52번길 3,경기도 수원시 장안구 연무동 56-118,1,2012-09,37.2970642,127.0301981
7791,경기도 수원시,경기도 수원시 팔달구 수원천로213번길 4,경기도 수원시 팔달구 구천동 46-35,7,2018-12,37.2729909,127.0180577
7797,경기도 수원시,경기도 수원시 권선구 구운중로11번길 49,경기도 수원시 권선구 구운동 538,4,2017-05,37.2756815,126.9704207
7798,경기도 수원시,,경기도 수원시 권선구 구운동 503-3,5,2017-05,37.2776563,126.976565
7799,경기도 수원시,경기도 수원시 권선구 세화로169번길 26-1,경기도 수원시 권선구 서둔동 45-37,4,2017-05,37.2668734,126.9915855
7800,경기도 수원시,경기도 수원시 권선구 서둔로7번길 19,경기도 수원시 권선구 고색동 890-174,1,2012-09,37.2520684,126.9830664
7801,경기도 수원시,경기도 수원시 권선구 칠보로125번길 28,경기도 수원시 권선구 호매실동 464-1,1,2017-05,37.2667367,126.9515973
7807,경기도 수원시,,경기도 수원시 권선구 입북동 222-17,4,2017-05,37.2951506,126.9633185
7809,경기도 수원시,경기도 수원시 장안구 덕영대로535번길 67,경기도 수원시 장안구 천천동 514,1,2012-02,37.2983993,126.983449
7810,경기도 수원시,경기도 수원시 장안구 서부로 2066,경기도 수원시 장안구 천천동 500,1,2012-02,37.299119,126.9779561
7812,경기도 수원시,,경기도 수원시 팔달구 지동 125-20,3,2016-06,37.2792068,127.0256137
7813,경기도 수원시,경기도 수원시 팔달구 중부대로87번길 15,경기도 수원시 팔달구 지동 115-8,4,2016-06,37.2771524,127.0258386
7814,경기도 수원시,경기도 수원시 팔달구 세지로331번길 38,경기도 수원시 팔달구 지동 297-21,4,2016-06,37.2815411,127.0221752
7815,경기도 수원시,경기도 수원시 팔달구 세지로377번길 14-1,경기도 수원시 팔달구 지동 231-3,4,2016-06,37.2843786,127.0262016
7816,경기도 수원시,경기도 수원시 팔달구 중부대로39번길 47,경기도 수원시 팔달구 지동 350-20,4,2016-06,37.2771532,127.0214976
7817,경기도 수원시,경기도 수원시 팔달구 팔달문로82번길 38-3,경기도 수원시 팔달구 지동 178-6,4,2016-06,37.2796841,127.0270571
7819,경기도 수원시,,경기도 수원시 권선구 당수동 292-1,1,2012-02,37.2924801,126.9357573
7820,경기도 수원시,경기도 수원시 영통구 영통로153번길 74-5,경기도 수원시 영통구 망포동 254,5,2012-02,37.2416895,127.0507009
7822,경기도 수원시,경기도 수원시 영통구 신원로250번길 58,경기도 수원시 영통구 영통동 76-1,4,2012-02,37.2571544,127.0633922
7823,경기도 수원시,경기도 수원시 영통구 영통로174번길 62,경기도 수원시 영통구 망포동 355-1,4,2012-02,37.2430735,127.0589179
7824,경기도 수원시,경기도 수원시 영통구 신원로 97,경기도 수원시 영통구 신동 398-8,4,2012-02,37.2476897,127.052339
7829,경기도 수원시,경기도 수원시 장안구 만석로 29,경기도 수원시 장안구 천천동 529,1,2012-02,37.2974261,126.9833364
7830,경기도 수원시,경기도 수원시 장안구 덕영대로417번길 1,경기도 수원시 장안구 율전동 192-13,1,2012-02,37.3012071,126.9686169197
7831,경기도 수원시,,경기도 수원시 장안구 율전동 119-1,1,2012-02,37.3060102,126.9711183
7832,경기도 수원시,경기도 수원시 장안구 서부로2106번길 26-130,경기도 수원시 장안구 율전동 439-8,1,2012-02,37.2971538,126.9734567
7833,경기도 수원시,경기도 수원시 장안구 서부로2197번길 35-2,경기도 수원시 장안구 율전동 105-8,1,2012-02,37.3040909,126.9704762
7834,경기도 수원시,경기도 수원시 장안구 수일로 20-7,경기도 수원시 장안구 파장동 201-4,1,2012-02,37.3113122,126.994399
7835,경기도 수원시,경기도 수원시 장안구 장안로 447,경기도 수원시 장안구 이목동 203-1,1,2012-02,37.3184013,126.979642
7838,경기도 수원시,경기도 수원시 팔달구 경수대로443번길 18,경기도 수원시 팔달구 인계동 992-12,1,2012-09,37.266151,127.0250348
7839,경기도 수원시,경기도 수원시 권선구 동수원로146번길 187,경기도 수원시 권선구 곡반정동 521-9,5,2017-05,37.242407,127.0332777
7840,경기도 수원시,경기도 수원시 영통구 영통로130번길 59,경기도 수원시 영통구 망포동 415,4,2017-05,37.2403523,127.0590511
7841,경기도 수원시,경기도 수원시 영통구 청명로59번길 59-2,경기도 수원시 영통구 영통동 1027-24,4,2017-05,37.2501259,127.0796962
7842,경기도 수원시,경기도 수원시 영통구 매영로415번길 7,경기도 수원시 영통구 영통동 1015-7,5,2017-05,37.2490195,127.0767533
7843,경기도 수원시,경기도 수원시 영통구 덕영대로1673번길 8-6,경기도 수원시 영통구 영통동 991-3,4,2017-05,37.2477684,127.0745768
7844,경기도 수원시,경기도 수원시 영통구 청명남로4번길 21-1,경기도 수원시 영통구 영통동 1002-8,4,2017-05,37.2498769,127.0743871
7846,경기도 수원시,경기도 수원시 장안구 장안로42번길 38,경기도 수원시 장안구 영화동 420-1,5,2017-05,37.2892103,127.0067838
7847,경기도 수원시,경기도 수원시 장안구 수성로402번길 30-4,경기도 수원시 장안구 영화동 212-13,4,2017-05,37.2933724,127.0157273
7848,경기도 수원시,경기도 수원시 팔달구 정조로886번길 7,경기도 수원시 팔달구 북수동 109-3,5,2012-09,37.2870382,127.0156135
7850,경기도 수원시,,경기도 수원시 권선구 탑동 508-6,1,2011-03,37.2652403,126.9771781
