,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
132,서울특별시 영등포구,문래동5가 22-3 진주공원1,문래동5가 22-3 진주공원1,2,2010-11,37.5170867201,126.8852937321
337,경상남도혈액원,경상남도 진주시 진양호로 526 명원빌딩 8층,경상남도 진주시 본성동 1-7,5,2015-06,35.192397,128.083017
340,경상남도혈액원,경상남도 진주시 진주대로 572,경상남도 진주시 가좌동 446-5,6,2012-08,35.157599,128.10791
3207,경상남도 진주시청,경상남도 진주시 미천면 안간리 산 미천초 정문 옆,경상남도 진주시 미천면 안간리 산 미천초 정문 옆,1,2018-12,35.318344,128.089817
3208,경상남도 진주시청,경상남도 진주시 미천면 안간리 산 미천초 정문 앞,경상남도 진주시 미천면 안간리 산 미천초 정문 앞,4,2018-12,35.318039,128.088786
3209,경상남도 진주시청,경상남도 진주시 문산읍 소문리 소화유치원 입구,경상남도 진주시 문산읍 소문리 소화유치원 입구,2,2018-12,35.171257,128.168943
3210,경상남도 진주시청,경상남도 진주시 문산읍 소문리 소화유치원 입구 삼거리,경상남도 진주시 문산읍 소문리 소화유치원 입구 삼거리,4,2018-12,35.170544,128.168946
3211,경상남도 진주시청,경상남도 진주시 금산면장사리푸른꿈어린이집입구,경상남도 진주시 금산면장사리푸른꿈어린이집입구,3,2018-12,35.215896,128.156073
3212,경상남도 진주시청,경상남도 진주시 금산면장사리푸른꿈어린이집주변,경상남도 진주시 금산면장사리푸른꿈어린이집주변,1,2018-12,35.215644,128.155501
3213,경상남도 진주시청,경상남도 진주시 명석면관지리명석어린이집주변,경상남도 진주시 명석면관지리명석어린이집주변,1,2018-12,35.252552,128.041154
3214,경상남도 진주시청,경상남도 진주시 명석면관지리명석어린이집주변,경상남도 진주시 명석면관지리명석어린이집주변,1,2018-12,35.254582,128.040279
3215,경상남도 진주시청,경상남도 진주시 명석면관지리명석어린이집입구,경상남도 진주시 명석면관지리명석어린이집입구,4,2018-12,35.253689,128.040612
3216,경상남도 진주시청,경상남도 진주시 금산면 송백리 리라자연과학유치원 주변,경상남도 진주시 금산면 송백리 리라자연과학유치원 주변,1,2018-12,35.205257,128.134801
3217,경상남도 진주시청,경상남도 진주시 금산면 송백리 리라자연과학유치원 앞,경상남도 진주시 금산면 송백리 리라자연과학유치원 앞,3,2018-12,35.204828,128.134639
