,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
339,경상남도혈액원,경상남도 창원시 마산합포구 해안대로 1 삼우빌딩 2층 202-1호,경상남도 창원시 마산합포구 월남동 4-92 삼우빌딩 2층 202-2호,4,2011-09,35.180777,128.559077
398,경상남도혈액원,경상남도 창원시 의창구 용지로 226,경상남도 창원시 의창구 용호동 4-4,14,2011-09,35.233822,128.686038
399,경상남도혈액원,경상남도 창원시 의창구 원이대로 578 정우상가 2층,경상남도 창원시 의창구 용호동 73-62 정우상가 2층,8,2011-09,35.22841,128.679498
4245,경상남도 진주시청,경상남도 진주시 이반성면 발산리 창원방향,경상남도 진주시 이반성면 발산리 창원방향,2,2018-12,35.142134,128.343229
5817,강원도 영월군청,,강원도 영월군 남면 창원리 558-6,1,2020-05,37.173953,128.375852
15674,용산구청,서울특별시 용산구 효창원로23길 22,서울특별시 용산구 신창동 77-114,4,,37.536576,126.954321
15821,경상남도 창원시,경상남도 창원시 의창구 동읍 백월로 540,경상남도 창원시 의창구 동읍 화양리 998-1,2,2019-05,35.30507357,128.6550435
15822,경상남도 창원시,경상남도 창원시 의창구 북면 감계로140번길 51,경상남도 창원시 의창구 북면 감계리 253-4,3,2017-04,35.30089967,128.5886958
15824,경상남도 창원시,,경상남도 창원시 의창구 북면 감계리 29-12,2,2018-09,35.30575908,128.5963501
15827,경상남도 창원시,경상남도 창원시 의창구 북면 동전무동길26번길 19,경상남도 창원시 의창구 북면 동전리 141-3,2,2018-09,35.31682105,128.5991379
15828,경상남도 창원시,경상남도 창원시 의창구 북면 동전무동길26번길 19,경상남도 창원시 의창구 북면 동전리 141-3,3,2018-09,35.31775108,128.599253
15829,경상남도 창원시,경상남도 창원시 의창구 북면 동곡로 65,경상남도 창원시 의창구 북면 무동리 121-2,2,2016-07,35.32134437,128.5826167
15831,경상남도 창원시,경상남도 창원시 의창구 북면 동전로110번길 36,경상남도 창원시 의창구 북면 감계리 231-2,2,2014-08,35.30590764,128.6002044
15832,경상남도 창원시,경상남도 창원시 의창구 북면 동전로110번길 36,경상남도 창원시 의창구 북면 감계리 231-2,2,2015-01,35.30493399,128.599402
15833,경상남도 창원시,경상남도 창원시 의창구 북면 신리길30번길 9,경상남도 창원시 의창구 북면 신촌리 867-5,2,2019-05,35.34806398,128.6056046
15834,경상남도 창원시,경상남도 창원시 의창구 북면 신리길30번길 17,경상남도 창원시 의창구 북면 신촌리 612-2,2,2018-09,35.34849487,128.6060496
15835,경상남도 창원시,,경상남도 창원시 의창구 북면 신촌리 568-3,2,2014-06,35.34966732,128.6070228
15837,경상남도 창원시,경상남도 창원시 의창구 북면 내감1길 15-27,경상남도 창원시 의창구 북면 감계리 1000,2,2016-07,35.2996925,128.5902214
15838,경상남도 창원시,경상남도 창원시 의창구 북면 하천로 145,경상남도 창원시 의창구 북면 하천리 944,2,2018-09,35.36910281,128.6046678
15839,경상남도 창원시,경상남도 창원시 의창구 북면 하천로 132,경상남도 창원시 의창구 북면 하천리 933-5,2,2012-06,35.36816628,128.604009
15841,경상남도 창원시,경상남도 창원시 의창구 대산면 제동길43번길 79-16,경상남도 창원시 의창구 대산면 가술리 150,3,2018-09,35.339236,128.7090171
15842,경상남도 창원시,경상남도 창원시 의창구 대산면 진산대로 433,경상남도 창원시 의창구 대산면 가술리 156-3,2,2015-06,35.33857941,128.7088034
